,name,reward_scale,reward_5D,count,count,mean,mean,std,std,min,min,25%,25%,50%,50%,75%,75%,max,max
0,tangy-felt-caribou,1.0,3.7832895,77.0,77.0,0.9025401325968953,0.9025401325968953,0.20172153060011386,0.20172153060011386,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,clumsy-daffodil-tuna,0.6485137939453125,3.50862223,98.0,98.0,0.5721877740353954,0.5721877740353954,0.18789986794381022,0.18789986794381022,0.1319427490234375,0.1319427490234375,0.432342529296875,0.432342529296875,0.6485137939453125,0.6485137939453125,0.6485137939453125,0.6485137939453125,1.0,1.0
8,elegant-tangerine-chameleon,0.6485137939453125,3.42319432,55.0,55.0,0.6190671053799716,0.6190671053799716,0.1259322384895941,0.1259322384895941,0.2099151611328125,0.2099151611328125,0.642669677734375,0.642669677734375,0.6485137939453125,0.6485137939453125,0.6485137939453125,0.6485137939453125,1.0,1.0
11,rich-golden-dog,0.599700927734375,3.23850824,206.0,206.0,0.7503630999222543,0.7503630999222543,0.2919004041851928,0.2919004041851928,0.0901641845703125,0.0901641845703125,0.5333404541015625,0.5333404541015625,1.0,1.0,1.0,1.0,1.0,1.0
10,icy-tortilla-albatross,0.6485137939453125,3.22182758,116.0,116.0,0.5194967861833244,0.5194967861833244,0.24605764460105306,0.24605764460105306,0.0452423095703125,0.0452423095703125,0.31653594970703125,0.31653594970703125,0.6335906982421875,0.6335906982421875,0.64935302734375,0.64935302734375,1.0,1.0
12,straight-ocean-panther,1.0,2.50835484,14.0,14.0,0.6309988839285714,0.6309988839285714,0.05726907235368565,0.05726907235368565,0.4329071044921875,0.4329071044921875,0.6435127258300781,0.6435127258300781,0.6485137939453125,0.6485137939453125,0.6485137939453125,0.6485137939453125,0.6501922607421875,0.6501922607421875
4,odd-mahogany-falcon,1.0,2.2136209,80.0,80.0,0.8093494415283203,0.8093494415283203,0.2397076668445075,0.2397076668445075,0.1666717529296875,0.1666717529296875,0.6954269409179688,0.6954269409179688,1.0,1.0,1.0,1.0,1.0,1.0
5,creamy-ultraviolet-puma,1.0,2.1695993,80.0,80.0,0.8787227630615234,0.8787227630615234,0.2282467754810212,0.2282467754810212,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,orbiting-tartan-sidewinder,1.0,2.10606932,143.0,143.0,0.6316724657178758,0.6316724657178758,0.30570376156456003,0.30570376156456003,0.0901641845703125,0.0901641845703125,0.34991455078125,0.34991455078125,0.599700927734375,0.599700927734375,1.0,1.0,1.0,1.0
15,rough-snowy-gecko,0.4329071044921875,1.9813942,139.0,139.0,0.6671728779086106,0.6671728779086106,0.2589084333392354,0.2589084333392354,0.0975799560546875,0.0975799560546875,0.5337448120117188,0.5337448120117188,0.6060638427734375,0.6060638427734375,1.0,1.0,1.0,1.0
2,joyous-olive-bull,1.0,1.95489481,96.0,96.0,0.6232409477233887,0.6232409477233887,0.33321861851765167,0.33321861851765167,0.0901641845703125,0.0901641845703125,0.32000732421875,0.32000732421875,0.6201934814453125,0.6201934814453125,1.0,1.0,1.0,1.0
18,sneaky-rusty-wallaby,0.284088134765625,1.74276351,216.0,216.0,0.5888939610234013,0.5888939610234013,0.25620025681925457,0.25620025681925457,0.14044189453125,0.14044189453125,0.4111366271972656,0.4111366271972656,0.5677490234375,0.5677490234375,0.5928001403808594,0.5928001403808594,1.0,1.0
6,able-snowy-hornet,1.0,1.74076473,114.0,114.0,0.8303274857370477,0.8303274857370477,0.234317223527981,0.234317223527981,0.25,0.25,0.569793701171875,0.569793701171875,1.0,1.0,1.0,1.0,1.0,1.0
